CODGEO,code_departement,P10_POP1564,P10_CHOM1564,P15_POP1564,P15_CHOM1564,P21_POP1564,P21_CHOM1564,taux_chomage_2012,taux_chomage_2017,taux_chomage_2022
44149,44,2229.86742505368,130.681899147878,2340.91937547991,138.619912976708,2507.16539834468,103.968003066871,5.8605,5.9216,4.1468
44150,44,2404.47776210626,123.954866008462,2538.52116530265,165.666008255139,2439.81780626789,102.636372969939,5.1552,6.5261,4.2067
44151,44,3390.05845737385,170.244252455803,3818.87589694338,267.069205758476,4186.82708179304,203.728401853082,5.0219,6.9934,4.8659
44152,44,1658.38201674043,89.176711415106,1741.16508455499,130.179850656455,1811.86954613797,110.392888544922,5.3773,7.4766,6.0928
44153,44,985.0,88.0,1084.0,101.0,1055.25834374601,76.9662357999107,8.934,9.3173,7.2936
44154,44,7507.56539550625,507.969565253484,7862.57154163724,637.97393621998,8201.3018009953,522.101338274451,6.7661,8.1141,6.3661
44155,44,1996.37547023953,112.015597675793,2102.11839486528,145.033995188838,2237.14698670402,124.579588438707,5.6109,6.8994,5.5687
44156,44,1589.52100066938,69.1458574489708,1749.24689213949,110.915310724252,1913.50858494971,102.735288392883,4.3501,6.3407,5.3689
44157,44,913.0,60.0,994.0,99.0,1049.02809069844,80.8371232387341,6.5717,9.9598,7.7059
44158,44,4311.36081850122,169.696137266021,4307.21945787501,259.585707748875,4680.24075732357,227.542084008801,3.936,6.0268,4.8618
44159,44,761.495278969956,50.2197424892703,737.746478873239,40.5037282518641,775.848072231114,38.4009440177053,6.5949,5.4902,4.9495
44161,44,2093.24930601468,115.91684299384,2182.4556082247,157.187215407348,2136.44371359517,162.391404195989,5.5377,7.2023,7.601
44162,44,27831.4364086262,2250.19391673169,28943.1590909995,3198.10967877622,31253.3813408977,2813.42281836242,8.0851,11.0496,9.002
44163,44,2735.98157220831,160.03587853699,2795.10568273238,181.658743509105,2915.52198146093,156.044768592096,5.8493,6.4992,5.3522
44164,44,1183.6906287499,53.7586623576774,1331.30657399586,91.5949940156573,1428.06486928742,80.2941315864378,4.5416,6.8801,5.6226
44165,44,1333.37911809428,58.3289406994427,1451.91251129458,65.5276287289898,1514.53487460858,65.7972607986687,4.3745,4.5132,4.3444
44166,44,3363.04925530703,133.395730665883,3497.82191831984,215.63523334588,3752.40225008722,287.930499436264,3.9665,6.1648,7.6732
44168,44,2492.47518677205,136.106651513573,2406.81118236182,200.521271890281,2444.28558591015,179.541337818881,5.4607,8.3314,7.3454
44169,44,4376.86979870812,236.318611987381,4339.1635641423,277.660157423721,4806.21969504296,209.044985715492,5.3993,6.3989,4.3495
44170,44,541.0,45.0,546.0,40.0,505.717752462834,36.8548174278619,8.3179,7.326,7.2876
44171,44,1033.02857142857,49.2857142857143,1128.16919739696,72.2472885032538,1337.978569759,53.0937031348494,4.771,6.4039,3.9682
44172,44,7891.77572863309,460.681541227051,9769.72678118156,656.731997252276,10068.2443928841,619.323678307747,5.8375,6.7221,6.1513
44173,44,1292.78664944525,48.1263683331164,1347.43729674808,83.9030702089323,1364.35992154853,74.9083192544522,3.7227,6.2269,5.4904
44174,44,1235.79405405405,54.1745945945945,1390.08176358124,107.021813090517,1517.36950882897,79.2697393012966,4.3838,7.699,5.2242
44175,44,2737.27152149317,162.003799900715,2816.90241185755,206.690952652022,3091.57225470723,150.607923121763,5.9184,7.3375,4.8716
44176,44,2092.0,164.0,1983.0,162.0,1896.08607283333,124.433573401963,7.8394,8.1694,6.5627
44178,44,1591.4094218933,81.5336500676773,1607.76432755579,106.53053955965,1666.93156252248,102.148605443025,5.1234,6.626,6.1279
44179,44,2650.12672221533,92.4317636143793,3114.46085934799,161.173055169601,3318.68392968783,155.488567171667,3.4878,5.175,4.6852
44180,44,4042.57777158314,231.324250000371,3954.82747480557,291.89809304497,3907.24682268965,202.2878264419,5.7222,7.3808,5.1772
44182,44,2810.17072702337,137.038094642941,2744.02108186027,218.101532236087,2999.95920734862,213.858637369625,4.8765,7.9482,7.1287
44183,44,1497.41924471049,89.6051392668306,1594.21109678374,122.87251654378,1832.12046309231,131.944383812307,5.984,7.7074,7.2017
