CODGEO,P22_POP,P16_POP,SUPERF,NAIS1621,DECE1621,P22_MEN,NAISD24,DECESD24,P22_LOG,P22_RP,P22_RSECOCC,P22_LOGVAC,P22_RP_PROP,MED_SL23,PR_MD60_23,P22_EMPLT,P22_EMPLT_SAL,P16_EMPLT,P22_POP1564,P22_CHOM1564,P22_ACT1564,ETTOT24,ETAZ24,ETBE24,ETFZ24,ETGU24,ETOQ24,ETTEF124,ETTEFP1024
85137,526,510,14.77,32,19,233.554494995939,1,3,291.36524526276,233.554494995939,37.8397638110106,19.9709864558112,204.000606212243,25830,s,55.1690459650104,28.3409321332307,65.8189902439165,305.148664122308,14.6941600652906,242.578882961589,11,7,0,1,2,1,7,1
85138,1199,1119,18.11,89,26,474.110546462509,12,4,558.263307476916,474.110546462509,61.5751909861512,22.5775700282554,390.928870715714,25350,s,131.537763910755,73.4222492300274,155.924396250292,743.727231639157,58.4708378338186,594.057149098149,14,7,0,3,2,2,12,1
85139,457,456,8.23,15,22,220.551304962388,4,4,301.479716595498,220.551304962388,59.0558679484853,21.8725436846242,167.861588323403,24130,s,59.6958555914468,31.1942163624806,44.8310905856294,235.131217207701,16.4732152821787,180.512782726746,13,4,2,0,5,2,10,0
85140,1489,1513,20.13,82,70,686,11,9,775,686,30,59,541,25100,s,492.281217944797,440.327802151126,527.137822151762,896,46,681,37,5,5,7,15,5,23,10
85141,681,662,20.95,54,23,284,4,4,340,284,29,27,231,23850,s,96.8570640409004,37.8904645276784,94.5424009374998,416,30,311,13,8,0,0,3,2,11,0
85142,1010,989,14.86,77,26,407,9,4,436,407,6,23,318,25460,s,281.535442379647,233.254264672481,175.37591115234,660,28,546,16,3,4,0,7,2,12,3
85143,1073,1049,22.23,56,59,515,8,9,702,515,118,69,388,24070,s,205.870154605147,142.537388349478,250.085342044721,627,51,461,28,2,1,2,21,2,20,3
85144,1560,1408,11.83,97,21,624.270493886911,14,2,655.113242333006,624.270493886911,5.36395625149484,25.4787921946005,471.823492079178,25940,s,204.293733109945,150.383665451382,151.088173990568,1027.7477478852,53.0646586196561,868.042776047002,26,3,1,10,9,3,17,8
85145,989,979,20.5,58,29,401.134080568804,6,7,466.457010505109,401.134080568804,18.6636942675158,46.6592356687896,312.860466398284,23520,s,105.40216659282,54.9869883396485,118.966135219287,617.198757243247,34.0734382168307,502.420203884125,20,5,1,3,9,2,17,0
85146,20754,20084,116.65,1186,814,8991.29671731681,147,158,9497.37954306019,8991.29671731681,131.628686667889,374.454139075489,6257.06054283236,27250,6.4,15099.9460732235,13749.8058566925,12606.5100369668,13252.6650995319,669.387519720482,10687.317215893,908,39,98,106,582,83,628,221
