id_election,annee,code_commune,population_totale,revenu_median,taux_pauvrete,taux_chomage,nb_entreprises,taux_faits_securite_pour_mille
2012_legi_t1,2012,49056,276,25550,,10.365854,9,0
2012_legi_t1,2012,49057,329,23600,,7.253886,7,0
2012_legi_t1,2012,49058,892,24130,,6.896552,26,0
2012_legi_t1,2012,49059,,,,,,
2012_legi_t1,2012,49060,3450,24450,,9.472607,97,0
2012_legi_t1,2012,49061,811,23480,,3.968254,36,0
2012_legi_t1,2012,49062,,,,,,
2012_legi_t1,2012,49063,6541,26540,8,6.126939,240,1.099182
2012_legi_t1,2012,49064,409,25660,,6.542056,18,0
2012_legi_t1,2012,49065,,,,,,
2012_legi_t1,2012,49066,,,,,,
2012_legi_t1,2012,49067,341,24940,,7.475942,13,0
2012_legi_t1,2012,49068,1837,25350,,6.305419,64,0
2012_legi_t1,2012,49069,,,,5.165568,,
2012_legi_t1,2012,49070,712,24860,,2.927928,12,0
2012_legi_t1,2012,49071,,,,,,
2012_legi_t1,2012,49072,,,,,,
2012_legi_t1,2012,49073,,,,,,
2012_legi_t1,2012,49074,,,,,,
2012_legi_t1,2012,49075,,,,,,
2012_legi_t1,2012,49076,820,26100,,7.857143,11,0
2012_legi_t1,2012,49077,,,,,,
2012_legi_t1,2012,49078,,,,,,
2012_legi_t1,2012,49079,,,,,,
2012_legi_t1,2012,49080,8712,24680,10,7.806827,217,0.646307
2012_legi_t1,2012,49081,,,,,,
2012_legi_t1,2012,49082,941,25130,,4.692557,21,0
2012_legi_t1,2012,49083,,,,,,
2012_legi_t1,2012,49084,,,,,,
2012_legi_t1,2012,49085,,,,,,
2012_legi_t1,2012,49086,3885,25620,,5.471725,129,0
2012_legi_t1,2012,49087,,,,,,
2012_legi_t1,2012,49088,,,,,,
2012_legi_t1,2012,49089,1067,25030,,2.838063,30,0
2012_legi_t1,2012,49090,1036,25160,,9.853521,13,0
2012_legi_t1,2012,49091,,,,,,
2012_legi_t1,2012,49092,21550,25430,8.9,4.679782,761,1.207844
2012_legi_t1,2012,49093,,,,,,
2012_legi_t1,2012,49094,,,,,,
2012_legi_t1,2012,49095,,,,,,
2012_legi_t1,2012,49096,,,,,,
2012_legi_t1,2012,49097,,,,,,
2012_legi_t1,2012,49098,,,,,,
2012_legi_t1,2012,49099,54074,25020,15.8,9.128339,2246,3.375415
2012_legi_t1,2012,49100,473,25000,,6.410256,21,0
2012_legi_t1,2012,49101,,,,,,
2012_legi_t1,2012,49102,345,24250,,7.865169,12,0
2012_legi_t1,2012,49103,,,,,,
2012_legi_t1,2012,49104,,,,,,
2012_legi_t1,2012,49105,,,,,,
2012_legi_t1,2012,49106,,,,,,
2012_legi_t1,2012,49107,481,27420,,4.316547,18,0
2012_legi_t1,2012,49108,,,,,,
2012_legi_t1,2012,49109,1575,25420,,3.783141,37,0
2012_legi_t1,2012,49110,1982,25770,,6.29771,53,0
2012_legi_t1,2012,49111,,,,,,
2012_legi_t1,2012,49112,935,26540,,7.321429,21,0
2012_legi_t1,2012,49113,530,25700,,6.734007,9,0
2012_legi_t1,2012,49114,140,21740,,4.950495,3,0
2012_legi_t1,2012,49115,,,,,,
2012_legi_t1,2012,49116,,,,,,
2012_legi_t1,2012,49117,,,,,,
2012_legi_t1,2012,49119,,,,,,
2012_legi_t1,2012,49120,1448,27290,,4.343105,26,0
2012_legi_t1,2012,49121,442,24620,,6.859206,13,0
2012_legi_t1,2012,49122,,,,,,
2012_legi_t1,2012,49123,1812,27090,,5.562352,143,0
2012_legi_t1,2012,49125,11227,24540,12,8.195183,391,5.049087
2012_legi_t1,2012,49126,16975,25770,7,,385,1.811286
2012_legi_t1,2012,49127,3376,24600,,9.030949,137,4.070128
2012_legi_t1,2012,49128,,,,,,
2012_legi_t1,2012,49129,4614,26690,,4.733964,220,3.734656
2012_legi_t1,2012,49130,661,27430,,6.25,12,0
2012_legi_t1,2012,49131,719,24460,,8.409091,6,0
2012_legi_t1,2012,49132,1567,25460,,6.006803,29,0
2012_legi_t1,2012,49133,,,,,,
2012_legi_t1,2012,49134,,,,,,
2012_legi_t1,2012,49135,2216,27780,,3.498675,45,0
2012_legi_t1,2012,49136,,,,,,
2012_legi_t1,2012,49137,,,,,,
2012_legi_t1,2012,49138,2531,24960,,6.423841,64,1.455445
2012_legi_t1,2012,49139,,,,,,
2012_legi_t1,2012,49140,1477,23460,,7.673735,27,0
2012_legi_t1,2012,49141,,,,,,
2012_legi_t1,2012,49142,,,,,,
2012_legi_t1,2012,49143,,,,,,
2012_legi_t1,2012,49144,,,,,,
2012_legi_t1,2012,49145,,,,,,
2012_legi_t1,2012,49147,,,,,,
2012_legi_t1,2012,49148,,,,,,
2012_legi_t1,2012,49149,,,,,,
2012_legi_t1,2012,49150,,,,,,
2012_legi_t1,2012,49151,,,,,,
2012_legi_t1,2012,49153,,,,,,
2012_legi_t1,2012,49154,,,,,,
2012_legi_t1,2012,49155,1437,29340,,3.958333,58,0
2012_legi_t1,2012,49156,,,,,,
2012_legi_t1,2012,49157,,,,,,
2012_legi_t1,2012,49158,,,,,,
2012_legi_t1,2012,49159,,,,,,
2012_legi_t1,2012,49160,3069,24760,,6.448435,75,0
2012_legi_t1,2012,49161,343,26210,,5.970149,8,0
2012_legi_t1,2012,49162,,,,,,
2012_legi_t1,2012,49163,2792,25100,,6.89795,61,0
2012_legi_t1,2012,49165,,,,,,
2012_legi_t1,2012,49167,4670,31910,,4.541193,145,2.660655
2012_legi_t1,2012,49169,,,,,,
2012_legi_t1,2012,49170,828,26390,,6.706114,14,0
2012_legi_t1,2012,49171,119,24130,,3.125,2,0
2012_legi_t1,2012,49172,,,,,,
2012_legi_t1,2012,49173,,,,,,
2012_legi_t1,2012,49174,1304,24430,,7.174709,26,0
2012_legi_t1,2012,49175,,,,,,
2012_legi_t1,2012,49176,5343,25990,,7.33116,178,
2012_legi_t1,2012,49177,,,,,,
2012_legi_t1,2012,49178,884,24740,,7.100592,34,0
2012_legi_t1,2012,49179,,,,,,
2012_legi_t1,2012,49180,6583,23720,15,9.066904,234,2.979738
2012_legi_t1,2012,49181,,,,,,
2012_legi_t1,2012,49182,895,25930,,4.868154,31,0
2012_legi_t1,2012,49183,4967,25470,,7.251108,106,1.30656
2012_legi_t1,2012,49184,,,,,,
2012_legi_t1,2012,49185,,,,,,
2012_legi_t1,2012,49186,,,,,,
2012_legi_t1,2012,49187,,,,,,
2012_legi_t1,2012,49188,846,26020,,5.366726,21,0
2012_legi_t1,2012,49189,,,,,,
2012_legi_t1,2012,49190,,,,,,
2012_legi_t1,2012,49191,,,,,,
2012_legi_t1,2012,49192,3206,25980,,5.499937,125,2.261649
2012_legi_t1,2012,49193,3878,25250,,6.193601,81,0
2012_legi_t1,2012,49194,5770,26840,,6.498162,121,2.402535
2012_legi_t1,2012,49195,1257,26290,,2.564103,29,0
2012_legi_t1,2012,49196,,,,,,
2012_legi_t1,2012,49197,,,,,,
2012_legi_t1,2012,49198,,,,,,
2012_legi_t1,2012,49199,,,,,,
2012_legi_t1,2012,49200,6453,27970,,5.190333,113,2.285336
2012_legi_t1,2012,49201,2057,25480,,5.915311,41,0
2012_legi_t1,2012,49202,,,,,,
2012_legi_t1,2012,49204,,,,,,
2012_legi_t1,2012,49205,1050,23600,,7.627246,37,0
2012_legi_t1,2012,49206,,,,,,
2012_legi_t1,2012,49207,,,,,,
2012_legi_t1,2012,49208,,,,,,
2012_legi_t1,2012,49209,433,25200,,6.745311,6,0
2012_legi_t1,2012,49211,1229,25200,,4.447512,42,0
2012_legi_t1,2012,49212,,,,,,
2012_legi_t1,2012,49213,,,,,,
2012_legi_t1,2012,49214,7811,27720,7,5.096835,135,4.328405
2012_legi_t1,2012,49215,3716,24190,,8.782121,132,
